Total,1,last hour,1,2023-12-21 11:35:41
Total,2,last hour,2,2023-12-21 11:35:45
Total,3,last hour,3,2023-12-21 11:35:49
Total,4,last hour,4,2023-12-21 11:35:54
Total,5,last hour,5,2023-12-21 11:40:10
Total,6,last hour,6,2023-12-21 11:40:14
Total,7,last hour,7,2023-12-21 11:40:51
Total,8,last hour,8,2023-12-21 11:42:08
Total,9,last hour,9,2023-12-21 11:42:14
Total,10,last hour,10,2023-12-21 11:42:18
Total,11,last hour,11,2023-12-21 11:42:25
Total,12,last hour,12,2023-12-21 11:47:20
Total,13,last hour,13,2023-12-21 11:47:25
Total,14,last hour,14,2023-12-21 11:49:57
Total,15,last hour,15,2023-12-21 11:50:03
Total,16,last hour,16,2023-12-21 11:50:08
Total,17,last hour,17,2023-12-21 11:50:12
Total,18,last hour,18,2023-12-21 11:57:59
Total,19,last hour,19,2023-12-21 11:58:04
Total,20,last hour,20,2023-12-21 11:58:09
Total,21,last hour,21,2023-12-21 11:58:13
Total,22,last hour,22,2023-12-21 12:11:38
Total,23,last hour,23,2023-12-21 12:11:42
Total,24,last hour,24,2023-12-21 12:17:39
Total,25,last hour,25,2023-12-21 12:17:45
Total,26,last hour,26,2023-12-21 12:17:49
Total,27,last hour,27,2023-12-21 12:17:53
