Total,1,last hour,1,2023-12-06 09:05:54
Total,2,last hour,2,2023-12-06 09:05:54
Total,3,last hour,3,2023-12-06 09:05:56
Total,4,last hour,4,2023-12-06 09:05:56
Total,5,last hour,5,2023-12-06 09:27:41
Total,6,last hour,6,2023-12-06 09:27:41
Total,7,last hour,7,2023-12-06 09:28:20
Total,8,last hour,8,2023-12-06 09:28:20
Total,9,last hour,1,2023-12-08 08:44:00
Total,10,last hour,2,2023-12-08 08:44:02
Total,11,last hour,1,2023-12-08 14:42:06
Total,12,last hour,2,2023-12-08 14:42:07
Total,13,last hour,1,2023-12-11 10:29:15
Total,14,last hour,2,2023-12-11 10:29:17
Total,15,last hour,1,2023-12-11 11:43:38
Total,16,last hour,2,2023-12-11 11:43:38
Total,17,last hour,1,2023-12-11 14:10:14
Total,18,last hour,2,2023-12-11 14:10:15
Total,19,last hour,3,2023-12-11 14:10:27
Total,20,last hour,4,2023-12-11 14:10:27
Total,21,last hour,5,2023-12-11 14:10:39
Total,22,last hour,6,2023-12-11 14:10:39
Total,23,last hour,7,2023-12-11 14:12:30
Total,24,last hour,8,2023-12-11 14:12:30
Total,25,last hour,9,2023-12-11 14:14:05
Total,26,last hour,10,2023-12-11 14:14:05
Total,27,last hour,11,2023-12-11 14:24:46
Total,28,last hour,12,2023-12-11 14:24:47
Total,29,last hour,13,2023-12-11 14:25:26
Total,30,last hour,14,2023-12-11 14:25:27
Total,31,last hour,15,2023-12-11 14:27:51
Total,32,last hour,16,2023-12-11 14:27:51
Total,33,last hour,17,2023-12-11 14:31:00
Total,34,last hour,18,2023-12-11 14:31:00
Total,35,last hour,19,2023-12-11 14:34:08
Total,36,last hour,20,2023-12-11 14:34:08
Total,37,last hour,21,2023-12-11 14:35:14
Total,38,last hour,22,2023-12-11 14:35:14
Total,39,last hour,23,2023-12-11 14:36:37
Total,40,last hour,24,2023-12-11 14:36:37
Total,41,last hour,25,2023-12-11 14:37:53
Total,42,last hour,26,2023-12-11 14:37:53
Total,43,last hour,27,2023-12-11 14:41:10
Total,44,last hour,28,2023-12-11 14:41:10
Total,45,last hour,29,2023-12-11 14:45:59
Total,46,last hour,30,2023-12-11 14:46:43
Total,47,last hour,31,2023-12-11 14:46:43
Total,48,last hour,22,2023-12-11 15:16:24
Total,49,last hour,23,2023-12-11 15:16:25
Total,50,last hour,8,2023-12-11 15:38:55
Total,51,last hour,9,2023-12-11 15:38:55
Total,52,last hour,8,2023-12-11 15:42:18
Total,53,last hour,9,2023-12-11 15:42:18
Total,54,last hour,7,2023-12-11 15:58:16
Total,55,last hour,8,2023-12-11 15:58:16
Total,56,last hour,9,2023-12-11 15:58:16
Total,57,last hour,10,2023-12-11 15:58:16
Total,58,last hour,11,2023-12-11 16:00:18
Total,59,last hour,12,2023-12-11 16:00:20
Total,60,last hour,13,2023-12-11 16:00:20
Total,61,last hour,14,2023-12-11 16:00:20
Total,62,last hour,15,2023-12-11 16:07:27
Total,63,last hour,16,2023-12-11 16:07:27
Total,64,last hour,17,2023-12-11 16:07:27
Total,65,last hour,18,2023-12-11 16:07:27
Total,66,last hour,19,2023-12-11 16:13:34
Total,67,last hour,20,2023-12-11 16:13:41
Total,68,last hour,21,2023-12-11 16:14:28
Total,69,last hour,22,2023-12-11 16:14:29
Total,70,last hour,23,2023-12-11 16:14:29
Total,71,last hour,24,2023-12-11 16:14:29
Total,72,last hour,25,2023-12-11 16:14:49
Total,73,last hour,26,2023-12-11 16:14:56
Total,74,last hour,27,2023-12-11 16:15:04
Total,75,last hour,28,2023-12-11 16:16:05
Total,76,last hour,29,2023-12-11 16:16:13
Total,77,last hour,30,2023-12-11 16:16:20
Total,78,last hour,29,2023-12-11 16:16:27
Total,79,last hour,30,2023-12-11 16:25:28
Total,80,last hour,31,2023-12-11 16:26:50
